date,doy,lat,lon,tmin_c,tmax_c,tmean_c,ra_mj_m2_day,et0_mm_day
2025-08-23,235,27.3,88.6,20.100,23.600,21.850,37.32137,6.36741
2025-08-24,236,27.3,88.6,20.500,23.700,22.100,37.20335,6.10742
2025-08-25,237,27.3,88.6,20.200,25.600,22.900,37.08313,8.06669
2025-08-26,238,27.3,88.6,19.900,27.200,23.550,36.96072,9.49741
2025-08-27,239,27.3,88.6,20.400,25.900,23.150,36.83613,8.13649
2025-08-28,240,27.3,88.6,20.000,24.700,22.350,36.70937,7.34919
2025-08-29,241,27.3,88.6,20.000,25.000,22.500,36.58044,7.58170
2025-08-30,242,27.3,88.6,19.900,24.600,22.250,36.44937,7.27896
2025-08-31,243,27.3,88.6,19.500,26.600,23.050,36.31617,9.09178
2025-09-01,244,27.3,88.6,20.300,28.700,24.500,36.18085,10.20203
2025-09-02,245,27.3,88.6,20.900,28.200,24.550,36.04343,9.48569
2025-09-03,246,27.3,88.6,20.100,27.800,23.950,35.90393,9.56691
